Name	Regen	Batch	Animal	Groups	Clusters
NewRegNoReg215	NO	12	41893	2	NO2
NewRegNoReg216	NO	12	41893	2	NO2
NewRegNoReg217	YES	12	41893	1	YES2
NewRegNoReg218	NO	12	41893	2	NO2
NewRegNoReg219	YES	12	41893	1	YES1
NewRegNoReg21	NO	6	24857	2	NO2
NewRegNoReg220	NO	12	41893	2	NO2
NewRegNoReg221	NO	12	41893	2	NO2
NewRegNoReg222	NO	12	41893	2	NO2
NewRegNoReg223	NO	12	41893	2	NO1
NewRegNoReg224	NO	12	41893	2	NO1
NewRegNoReg225	NO	12	41898	2	NO2
NewRegNoReg226	NO	12	41898	2	NO2
NewRegNoReg227	NO	12	41898	2	NO2
NewRegNoReg228	NO	12	41898	2	NO2
NewRegNoReg229	NO	12	41898	2	NO2
NewRegNoReg22	NO	6	24857	2	NO2
NewRegNoReg230	NO	12	41898	2	NO2
NewRegNoReg231	NO	12	41898	2	Removed
NewRegNoReg232	NO	12	41898	2	NO2
NewRegNoReg233	NO	12	41898	2	NO2
NewRegNoReg234	NO	12	41898	2	NO2
NewRegNoReg235	NO	12	41898	2	NO1
NewRegNoReg236	NO	12	41898	2	NO2
NewRegNoReg237	NO	12	41898	2	NO2
NewRegNoReg238	YES	12	41898	1	YES1
NewRegNoReg239	NO	12	41898	2	NO2
NewRegNoReg23	NO	6	24857	2	NO1
NewRegNoReg240	YES	12	41898	1	YES1
NewRegNoReg241	YES	12	41898	1	YES2
NewRegNoReg242	NO	12	41898	2	NO2
NewRegNoReg243	NO	12	41898	2	NO2
NewRegNoReg244	YES	12	41898	1	YES2
NewRegNoReg245	NO	12	41898	2	NO1
NewRegNoReg246	NO	12	41898	2	NO1
NewRegNoReg247	NO	12	41898	2	NO2
NewRegNoReg248	NO	12	41897	2	NO2
NewRegNoReg249	NO	12	41897	2	NO2
NewRegNoReg24	NO	6	24857	2	NO1
NewRegNoReg250	NO	12	41897	2	NO1
NewRegNoReg251	NO	12	41897	2	NO1
NewRegNoReg252	NO	12	41897	2	NO2
NewRegNoReg253	NO	12	41897	2	NO2
NewRegNoReg254	NO	12	41897	2	NO1
NewRegNoReg255	NO	12	41897	2	NO1
NewRegNoReg256	NO	12	41897	2	NO1
NewRegNoReg257	YES	12	41897	1	YES1
NewRegNoReg258	YES	12	41897	1	YES1
NewRegNoReg259	NO	12	41897	2	NO2
NewRegNoReg25	NO	6	24857	2	NO2
NewRegNoReg260	NO	12	41897	2	NO2
NewRegNoReg261	YES	12	41897	1	Removed
NewRegNoReg262	NO	12	41897	2	NO1
NewRegNoReg263	NO	12	41897	2	NO1
NewRegNoReg264	NO	12	41897	2	NO1
NewRegNoReg265	NO	12	41897	2	NO1
